cliente_id;nombre_cliente;segmento_cliente;ciudad;edad;ingreso_estimado;producto;saldo_producto;cupo_credito;fecha_vencimiento;fecha_movimiento;categoria_consumo;monto_consumo;canal;estado_producto
C001849;Cliente 1849;Mass;Loja;34,0;529,01;Crédito Vehicular;18607,73;0,0;2028-08-30;2025-10-22;No Aplica;0,0;Branch;Activo
C002126;Cliente 2126;Affluent;Guayaquil;31,0;2710,74;Tarjeta De Crédito;410,12;7800,0;2028-10-09;2025-09-06;Entertainment;130,28;Web;Activo
C002093;Cliente 2093;Affluent;Quito;30,0;1882,98;Tarjeta De Crédito;1818,49;4400,0;2030-10-01;2026-05-06;Health;153,95;Pos;Activo
C001045;Cliente 1045;Joven;Guayaquil;23,0;1076,74;Crédito De Consumo;4992,8;0,0;2031-07-19;2026-04-24;No Aplica;0,0;App;Activo
C000617;Cliente 0617;Premium;Guayaquil;18,0;3236,15;Tarjeta De Crédito;740,32;7700,0;2026-12-29;2026-08-28;Supermarket;67,38;Pos;Activo
C000716;Cliente 0716;Mass;Guayaquil;19,0;913,03;Tarjeta De Crédito;561,02;1400,0;2027-02-05;2025-10-09;Entertainment;17,24;App;Activo
C000508;Cliente 0508;Affluent;Quito;35,0;1331,37;Tarjeta De Crédito;1407,41;2000,0;2028-08-31;2025-05-25;Entertainment;79,19;Pos;Activo
C001134;Cliente 1134;Mass;Manta;34,0;1105,86;Tarjeta De Crédito;616,48;2100,0;2027-10-17;2026-03-15;Technology;52,29;Pos;Activo
C000786;Cliente 0786;Premium;Quito;35,0;4708,36;Crédito De Consumo;17491,21;0,0;2032-05-05;2026-01-20;No Aplica;0,0;Web;Activo
C002037;Cliente 2037;Mass;Guayaquil;49,0;852,66;Tarjeta De Crédito;937,87;2400,0;2030-09-18;2025-01-21;Technology;36,85;Pos;Activo
C000312;Cliente 0312;Mass;Quito;21,0;901,93;Crédito Vehicular;26829,37;0,0;2031-03-24;2026-01-29;No Aplica;0,0;Branch;Activo
C000066;Cliente 0066;Mass;Cuenca;18,0;1104,18;Tarjeta De Crédito;429,3;2100,0;2030-04-23;2025-04-27;Entertainment;59,63;Branch;Activo
C000488;Cliente 0488;Joven;Manta;47,0;648,72;Tarjeta De Crédito;738,49;1800,0;2027-11-08;2026-01-31;Food;67,58;Web;Activo
C000726;Cliente 0726;Mass;Ambato;33,0;497,7;Tarjeta De Crédito;348,83;1100,0;2030-05-06;2025-10-15;Travel;41,86;Pos;Activo
C000538;Cliente 0538;Mass;Guayaquil;44,0;773,91;Cuenta De Ahorros;3396,15;0,0;;2026-07-05;No Aplica;0,0;Branch;Activo
C000100;Cliente 0100;Mass;Cuenca;46,0;870,1;Tarjeta De Crédito;473,4;2000,0;2029-10-22;2025-09-10;Streaming;38,74;Branch;Activo
C001889;Cliente 1889;Mass;Quito;23,0;1637,06;Cuenta Corriente;229,56;0,0;;2026-01-21;No Aplica;0,0;Web;Activo
C001649;Cliente 1649;Pyme;Quito;35,0;2370,33;Tarjeta De Crédito;3145,42;5800,0;2027-08-27;2026-03-21;Entertainment;52,86;Pos;Activo
C000012;Cliente 0012;Mass;Cuenca;33,0;929,56;Tarjeta De Crédito;808,79;1400,0;2028-02-12;2026-06-22;Technology;30,01;Web;Activo
C001170;Cliente 1170;Affluent;Loja;46,0;1729,21;Cuenta De Ahorros;5115,3;0,0;;2026-08-01;No Aplica;0,0;Web;Activo
C001598;Cliente 1598;Premium;Guayaquil;45,0;3764,87;Tarjeta De Crédito;3984,07;9000,0;2029-06-15;2026-04-02;Entertainment;243,77;App;Activo
C001808;Cliente 1808;Premium;Quito;18,0;3833,19;Tarjeta De Crédito;1375,77;4400,0;2029-12-07;2025-03-13;Streaming;326,71;Pos;Activo
C001122;Cliente 1122;Affluent;Quito;21,0;2472,84;Tarjeta De Crédito;2321,09;6500,0;2027-04-01;2025-07-07;Food;120,15;Web;Activo
C002049;Cliente 2049;Affluent;Quito;28,0;1812,53;Crédito Hipotecario;89658,32;0,0;2031-01-19;2025-05-10;No Aplica;0,0;Branch;Activo
C000957;Cliente 0957;Joven;Quito;67,0;892,29;Tarjeta De Crédito;279,62;1700,0;2026-09-19;2025-09-28;Health;265,34;Pos;Activo
C001410;Cliente 1410;Affluent;Quito;43,0;4201,04;Tarjeta De Crédito;3358,77;8500,0;2027-11-06;2025-03-30;Supermarket;46,58;Pos;Activo
C000600;Cliente 0600;Joven;Guayaquil;28,0;350,0;Tarjeta De Crédito;344,01;700,0;2026-09-24;2025-01-09;Travel;11,77;Pos;Activo
C001905;Cliente 1905;Affluent;Guayaquil;37,0;2954,87;Tarjeta De Crédito;892,45;6200,0;2029-05-08;2025-01-04;Food;518,98;Pos;Activo
C002010;Cliente 2010;Premium;Ambato;35,0;4058,22;Cuenta Corriente;6441,1;0,0;;2026-04-03;No Aplica;0,0;Web;Activo
C002157;Cliente 2157;Affluent;Quito;22,0;2194,82;Tarjeta De Crédito;1622,18;5800,0;2028-04-17;2026-05-25;Fuel;615,8;Web;Activo
C000542;Cliente 0542;Mass;Cuenca;43,0;1125,96;Crédito Hipotecario;59041,77;0,0;2028-05-03;2025-12-04;No Aplica;0,0;Web;Activo
C000348;Cliente 0348;Affluent;Guayaquil;43,0;4111,28;Tarjeta De Crédito;1939,99;6700,0;2029-10-22;2025-11-01;Food;255,25;App;Activo
C002185;Cliente 2185;Premium;Quito;47,0;3532,66;Tarjeta De Crédito;0,0;7700,0;2030-05-09;2025-01-04;Streaming;136,54;Pos;Activo
C001003;Cliente 1003;Mass;Quito;50,0;1222,3;Tarjeta De Crédito;921,48;3500,0;2029-09-11;2026-07-10;Education;53,51;App;Activo
C001233;Cliente 1233;Premium;Guayaquil;49,0;5660,37;Tarjeta De Crédito;11158,01;16100,0;2028-04-07;2026-01-15;Health;874,17;Web;Activo
C000273;Cliente 0273;Mass;Loja;37,0;947,93;Tarjeta De Crédito;203,08;2200,0;2030-02-26;2026-07-14;Others;103,12;App;Activo
C001024;Cliente 1024;Joven;Quito;23,0;593,97;Tarjeta De Crédito;289,88;1000,0;2028-06-15;2025-03-20;Food;74,39;App;Activo
C002085;Cliente 2085;Affluent;Guayaquil;33,0;2232,71;Crédito Hipotecario;77732,04;0,0;2029-09-13;2025-08-08;No Aplica;0,0;Branch;Activo
C000198;Cliente 0198;Mass;Guayaquil;52,0;1269,3;Crédito Vehicular;24267,54;0,0;2027-03-11;2026-07-08;No Aplica;0,0;Web;Activo
C000586;Cliente 0586;Premium;Quito;42,0;3325,94;Tarjeta De Crédito;0,0;8400,0;2029-03-29;2025-05-17;Travel;174,64;Pos;Activo
C001414;Cliente 1414;Premium;Guayaquil;54,0;3373,15;Tarjeta De Crédito;5402,58;8900,0;2028-08-30;2025-12-12;Supermarket;34,14;App;Activo
C001532;Cliente 1532;Joven;Guayaquil;28,0;998,28;Tarjeta De Crédito;363,65;2700,0;2026-11-05;2025-12-26;Food;16,98;Branch;Activo
C000510;Cliente 0510;Mass;Quito;29,0;880,46;Tarjeta De Crédito;1456,45;2600,0;2026-10-30;2025-11-01;Others;42,4;Pos;Activo
C000744;Cliente 0744;Mass;Guayaquil;18,0;807,72;Tarjeta De Crédito;663,07;1300,0;2027-07-31;2025-04-20;Entertainment;41,7;Pos;Activo
C000074;Cliente 0074;Mass;Ambato;49,0;1221,2;Tarjeta De Crédito;109,91;1500,0;2027-10-04;2026-05-26;Entertainment;39,01;Web;Activo
C000484;Cliente 0484;Premium;Guayaquil;39,0;7416,87;Tarjeta De Crédito;2392,47;11600,0;2027-09-06;2025-10-27;Supermarket;2049,23;Pos;Activo
C002107;Cliente 2107;Mass;Guayaquil;41,0;803,69;Tarjeta De Crédito;1129,59;1600,0;2028-02-27;2026-04-24;Streaming;23,96;Pos;Activo
C001420;Cliente 1420;Mass;Manta;33,0;923,03;Tarjeta De Crédito;387,47;2400,0;2026-10-22;2026-05-12;Health;69,3;Web;Activo
C002065;Cliente 2065;Mass;Quito;28,0;1069,4;Crédito Hipotecario;94940,23;0,0;2026-12-24;2025-09-23;No Aplica;0,0;App;Activo
C000665;Cliente 0665;Premium;Quito;42,0;533,87;Tarjeta De Crédito;279,51;1200,0;2027-07-24;2025-11-14;Health;37,69;Web;Activo
C001035;Cliente 1035;Mass;Quito;48,0;1002,62;Tarjeta De Crédito;1128,09;2200,0;2029-07-10;2026-03-11;Travel;53,2;App;Activo
C000992;Cliente 0992;Affluent;Guayaquil;37,0;2331,23;Tarjeta De Crédito;2096,57;4100,0;2028-11-23;2025-04-14;Health;65,25;Pos;Activo
C001012;Cliente 1012;Pyme;Guayaquil;36,0;5911,6;Tarjeta De Crédito;0,0;6300,0;2030-04-16;2025-11-27;Travel;402,07;Pos;Activo
C001286;Cliente 1286;Premium;Guayaquil;42,0;7075,74;Tarjeta De Crédito;0,0;16400,0;2027-09-29;2025-01-27;Fuel;103,41;Pos;Activo
C001830;Cliente 1830;Mass;Quito;29,0;1387,32;Tarjeta De Crédito;581,79;4100,0;2027-10-08;2025-03-01;Fuel;126,93;Pos;Activo
C001156;Cliente 1156;Affluent;Cuenca;22,0;2024,98;Cuenta De Ahorros;10550,82;0,0;;2025-03-10;No Aplica;0,0;Web;Activo
C000081;Cliente 0081;Mass;Desconocida;24,0;956,2;Crédito Hipotecario;93280,67;0,0;2030-05-17;2026-07-18;No Aplica;0,0;Branch;Activo
C001551;Cliente 1551;Joven;Quito;25,0;780,41;Tarjeta De Crédito;1028,84;2200,0;2028-07-20;2025-10-27;Technology;30,31;App;Activo
C000431;Cliente 0431;Mass;Guayaquil;46,0;943,23;Tarjeta De Crédito;1312,74;2800,0;2030-04-01;2025-05-06;Food;15,35;Branch;Activo
C001311;Cliente 1311;Joven;Ambato;27,0;459,76;Cuenta Corriente;2166,81;0,0;;2025-02-05;No Aplica;0,0;Web;Activo
C000793;Cliente 0793;Mass;Quito;48,0;986,32;Tarjeta De Crédito;674,77;2300,0;2030-08-14;2025-11-17;Health;49,73;Web;Activo
C000754;Cliente 0754;Mass;Guayaquil;54,0;1515,54;Crédito De Consumo;3283,7;0,0;2028-01-23;2025-05-28;No Aplica;0,0;Atm;Activo
C001570;Cliente 1570;Mass;Manta;47,0;802,03;Tarjeta De Crédito;203,22;1000,0;2029-11-21;2026-07-29;Travel;77,45;Pos;Activo
C000008;Cliente 0008;Pyme;Ambato;44,0;3050,52;Cuenta Corriente;6341,33;0,0;;2025-08-16;No Aplica;0,0;App;Activo
C001542;Cliente 1542;Premium;Cuenca;53,0;3559,57;Tarjeta De Crédito;4826,88;8900,0;2026-09-19;2026-03-17;Education;287,39;App;Activo
C002200;Cliente 2200;Premium;Ambato;32,0;4968,54;Tarjeta De Crédito;4787,44;9900,0;2028-07-05;2025-06-02;Education;103,3;Pos;Activo
C000594;Cliente 0594;Mass;Guayaquil;49,0;973,26;Tarjeta De Crédito;284,24;2500,0;2030-07-07;2025-09-30;Travel;180,24;Pos;Activo
C002138;Cliente 2138;Mass;Quito;25,0;1093,98;Tarjeta De Crédito;1061,19;2200,0;2029-07-10;2025-03-01;Entertainment;36,74;Branch;Activo
C000169;Cliente 0169;Pyme;Quito;23,0;4894,01;Crédito Hipotecario;90392,84;0,0;2028-12-29;2026-05-07;No Aplica;0,0;Web;Activo
C000620;Cliente 0620;Premium;Quito;48,0;5739,22;Tarjeta De Crédito;4651,91;8700,0;2026-09-25;2025-09-24;Technology;930,75;App;Activo
C000543;Cliente 0543;Mass;Guayaquil;36,0;778,05;Tarjeta De Crédito;0,0;1200,0;2028-02-16;2025-09-22;Others;118,35;Pos;Activo
C000612;Cliente 0612;Premium;Manta;57,0;3765,71;Tarjeta De Crédito;1417,35;5700,0;2027-11-24;2025-12-20;Travel;109,27;Pos;Activo
C000279;Cliente 0279;Mass;Cuenca;45,0;762,11;Crédito De Consumo;4147,06;0,0;2028-02-18;2025-08-27;No Aplica;0,0;Web;Activo
C002154;Cliente 2154;Affluent;Guayaquil;29,0;3785,79;Tarjeta De Crédito;256,5;7200,0;2030-01-06;2025-01-26;Travel;63,87;App;Activo
C000359;Cliente 0359;Mass;Quito;43,0;851,19;Crédito Vehicular;26843,0;0,0;2026-11-28;2026-03-03;No Aplica;0,0;Branch;Activo
C001916;Cliente 1916;Joven;Quito;45,0;756,48;Tarjeta De Crédito;170,99;1100,0;2029-06-26;2026-07-03;Food;57,59;Web;Activo
C001237;Cliente 1237;Mass;Quito;39,0;574,32;Tarjeta De Crédito;0,0;1600,0;2027-07-19;2025-09-06;Health;37,44;Pos;Activo
C000634;Cliente 0634;Joven;Guayaquil;25,0;1043,27;Tarjeta De Crédito;1805,16;3000,0;2029-03-07;2025-09-06;Travel;29,84;App;Activo
C001966;Cliente 1966;Pyme;Guayaquil;34,0;3805,86;Tarjeta De Crédito;7142,21;10300,0;2029-05-08;2025-02-20;Supermarket;934,41;Atm;Activo
C000440;Cliente 0440;Mass;Cuenca;48,0;754,17;Cuenta Corriente;3031,66;0,0;;2025-05-13;No Aplica;0,0;App;Activo
C001995;Cliente 1995;Mass;Loja;54,0;749,89;Tarjeta De Crédito;406,04;1600,0;2028-06-21;2026-06-24;Supermarket;36,18;Pos;Activo
C001907;Cliente 1907;Joven;Manta;32,0;434,63;Tarjeta De Crédito;64,63;500,0;2028-08-01;2026-01-21;Travel;14,18;App;Activo
C001497;Cliente 1497;Joven;Quito;36,0;481,75;Tarjeta De Crédito;951,39;1200,0;2027-01-24;2026-05-16;Entertainment;57,78;Web;Activo
C000103;Cliente 0103;Premium;Guayaquil;42,0;4597,87;Tarjeta De Crédito;0,0;6400,0;2028-04-07;2026-01-14;Travel;82,73;Web;Activo
C000347;Cliente 0347;Mass;Guayaquil;40,0;588,77;Tarjeta De Crédito;228,83;900,0;2030-07-29;2025-02-13;Supermarket;5,85;Web;Activo
C000577;Cliente 0577;Affluent;Guayaquil;36,0;1925,81;Tarjeta De Crédito;653,27;2600,0;2029-07-11;2025-07-26;Fuel;412,44;Pos;Activo
C001829;Cliente 1829;Mass;Manta;30,0;845,8;Tarjeta De Crédito;551,48;2100,0;2029-11-23;2026-06-16;Fuel;69,07;Branch;Activo
C001194;Cliente 1194;Affluent;Quito;35,0;2391,27;Tarjeta De Crédito;3678,42;6100,0;2026-09-23;2025-07-03;Health;152,28;App;Activo
C000774;Cliente 0774;Mass;Cuenca;47,0;1060,22;Tarjeta De Crédito;433,05;2200,0;2029-05-20;2026-02-18;Technology;66,81;Pos;Activo
C001526;Cliente 1526;Joven;Quito;47,0;547,97;Tarjeta De Crédito;560,67;1600,0;2030-06-07;2025-07-18;Entertainment;32,51;App;Activo
C000776;Cliente 0776;Affluent;Guayaquil;32,0;2432,59;Cuenta De Ahorros;12020,29;0,0;;2026-08-03;No Aplica;0,0;App;Activo
C000765;Cliente 0765;Affluent;Manta;54,0;1643,49;Tarjeta De Crédito;918,68;2000,0;2028-10-12;2025-11-17;Others;212,21;Web;Activo
C001894;Cliente 1894;Affluent;Quito;53,0;1805,25;Tarjeta De Crédito;2096,68;4000,0;2027-05-10;2025-05-23;Others;206,48;App;Activo
C000187;Cliente 0187;Pyme;Quito;38,0;2366,51;Tarjeta De Crédito;1129,3;3200,0;2030-01-08;2025-12-30;Technology;66,31;Pos;Activo
C000421;Cliente 0421;Joven;Guayaquil;41,0;904,42;Tarjeta De Crédito;516,49;2200,0;2029-07-12;2025-07-21;Others;48,95;Pos;Activo
C001533;Cliente 1533;Affluent;Quito;53,0;1922,96;Tarjeta De Crédito;1970,57;4700,0;2028-03-02;2026-08-24;Travel;185,89;Branch;Activo
C002075;Cliente 2075;Affluent;Guayaquil;34,0;1689,56;Tarjeta De Crédito;2347,06;4800,0;2027-02-24;2025-10-14;Food;109,86;Pos;Activo
C001294;Cliente 1294;Affluent;Guayaquil;60,0;2017,29;Crédito Vehicular;24441,66;0,0;2027-02-04;2025-03-16;No Aplica;0,0;App;Activo
C000576;Cliente 0576;Affluent;Cuenca;39,0;3245,47;Cuenta Corriente;5451,75;0,0;;2025-02-13;No Aplica;0,0;Branch;Activo
C001502;Cliente 1502;Mass;Guayaquil;29,0;1252,91;Tarjeta De Crédito;1635,38;2800,0;2030-01-20;2025-12-11;Travel;28,47;Pos;Activo
C000124;Cliente 0124;Joven;Guayaquil;56,0;561,33;Tarjeta De Crédito;127,69;600,0;2029-05-17;2025-05-09;Supermarket;24,41;Pos;Activo
C000797;Cliente 0797;Mass;Ambato;36,0;1212,29;Crédito Vehicular;16144,09;0,0;2028-11-20;2026-01-20;No Aplica;0,0;Atm;Activo
C000664;Cliente 0664;Affluent;Manta;51,0;1861,92;Tarjeta De Crédito;1865,93;3500,0;2028-06-02;2026-05-04;Health;434,18;Web;Activo
C002010;Cliente 2010;Premium;Ambato;35,0;4058,22;Tarjeta De Crédito;3762,3;10300,0;2027-06-24;2026-05-09;Supermarket;291,38;App;Activo
C001390;Cliente 1390;Affluent;Guayaquil;46,0;2104,66;Cuenta Corriente;6807,4;0,0;;2026-01-10;No Aplica;0,0;Branch;Activo
C001139;Cliente 1139;Affluent;Quito;31,0;2469,76;Tarjeta De Crédito;0,0;3600,0;2027-02-13;2026-06-21;Food;261,02;Web;Activo
C001521;Cliente 1521;Mass;Guayaquil;43,0;576,1;Crédito De Consumo;5392,27;0,0;2030-06-30;2025-04-12;No Aplica;0,0;Branch;Activo
C000335;Cliente 0335;Pyme;Cuenca;43,0;3355,55;Crédito Vehicular;18228,14;0,0;2028-10-08;2026-02-28;No Aplica;0,0;Branch;Activo
C000678;Cliente 0678;Affluent;Quito;39,0;2492,72;Tarjeta De Crédito;2842,97;4900,0;2029-09-28;2025-10-12;Travel;26,5;Branch;Activo
C000890;Cliente 0890;Mass;Guayaquil;40,0;1429,48;Tarjeta De Crédito;204,9;3100,0;2028-12-31;2026-01-18;Travel;94,32;Web;Activo
C001233;Cliente 1233;Premium;Guayaquil;49,0;5660,37;Tarjeta De Crédito;11158,01;16100,0;2028-04-07;2025-01-04;Travel;1223,25;Pos;Activo
C001429;Cliente 1429;Affluent;Guayaquil;53,0;1521,0;Cuenta De Ahorros;4467,62;0,0;;2025-06-25;No Aplica;0,0;Web;Activo
C001212;Cliente 1212;Affluent;Guayaquil;51,0;2277,81;Crédito Vehicular;16563,51;0,0;2031-09-01;2025-01-03;No Aplica;0,0;Web;Activo
C001365;Cliente 1365;Affluent;Guayaquil;67,0;1137,0;Tarjeta De Crédito;625,87;2200,0;2030-01-18;2025-01-26;Streaming;71,36;Pos;Activo
C000584;Cliente 0584;Affluent;Guayaquil;47,0;6325,61;Crédito De Consumo;11575,99;0,0;2032-05-24;2025-07-10;No Aplica;0,0;App;Activo
C001725;Cliente 1725;Mass;Quito;49,0;1048,5;Tarjeta De Crédito;1024,52;2900,0;2028-10-05;2026-02-19;Others;25,74;Branch;Activo
C000259;Cliente 0259;Affluent;Quito;43,0;2565,52;Cuenta Corriente;-100,0;0,0;;2026-08-14;No Aplica;0,0;App;Activo
C001465;Cliente 1465;Premium;Guayaquil;31,0;6500,55;Tarjeta De Crédito;5206,64;14100,0;2026-09-21;2025-03-26;Supermarket;233,14;Branch;Activo
C001541;Cliente 1541;Mass;Quito;32,0;711,96;Tarjeta De Crédito;1051,38;1700,0;2029-03-06;2026-05-07;Supermarket;65,4;Web;Activo
C002019;Cliente 2019;Affluent;Guayaquil;33,0;1943,05;Tarjeta De Crédito;2073,56;5400,0;2028-04-01;2026-02-06;Health;233,9;Pos;Activo
C001941;Cliente 1941;Joven;Guayaquil;42,0;984,08;Crédito De Consumo;3451,59;0,0;2029-11-05;2026-05-08;No Aplica;0,0;Branch;Activo
C001519;Cliente 1519;Mass;Quito;43,0;729,55;Tarjeta De Crédito;692,35;2200,0;2029-10-19;2025-11-01;Education;118,38;Pos;Activo
C000516;Cliente 0516;Mass;Guayaquil;29,0;762,38;Tarjeta De Crédito;450,19;1200,0;2026-11-22;2026-04-06;Food;68,77;Pos;Activo
C000292;Cliente 0292;Mass;Cuenca;33,0;366,3;Tarjeta De Crédito;217,39;700,0;2027-07-21;2025-11-04;Health;15,88;Branch;Activo
C001015;Cliente 1015;Joven;Quito;46,0;1025,11;Cuenta De Ahorros;2654,14;0,0;;2025-09-05;No Aplica;0,0;App;Activo
C001307;Cliente 1307;Mass;Guayaquil;61,0;628,73;Crédito Hipotecario;91358,87;0,0;2027-12-25;2026-01-28;No Aplica;0,0;App;Activo
C001523;Cliente 1523;Mass;Quito;33,0;1047,59;Cuenta Corriente;831,3;0,0;;2025-10-19;No Aplica;0,0;Web;Activo
C001371;Cliente 1371;Affluent;Manta;45,0;5276,95;Tarjeta De Crédito;3178,77;12800,0;2028-10-25;2025-07-30;Health;103,3;Pos;Activo
C000461;Cliente 0461;Mass;Quito;28,0;1410,84;Crédito Vehicular;17559,41;0,0;2031-07-14;2026-03-27;No Aplica;0,0;App;Activo
C000559;Cliente 0559;Mass;Quito;43,0;852,91;Tarjeta De Crédito;669,78;1900,0;2027-10-31;2025-06-02;Streaming;12,67;Web;Activo
C000202;Cliente 0202;Mass;Quito;43,0;725,19;Cuenta Corriente;2900,58;0,0;;2026-07-09;No Aplica;0,0;Branch;Activo
C000482;Cliente 0482;Affluent;Quito;32,0;1254,56;Tarjeta De Crédito;117,98;2100,0;2029-01-31;2025-06-05;Food;33,86;Pos;Activo
C001683;Cliente 1683;Affluent;Guayaquil;49,0;1646,2;Tarjeta De Crédito;363,23;1900,0;2027-05-20;2025-05-04;Food;21,14;Branch;Activo
C001357;Cliente 1357;Mass;Loja;24,0;976,97;Tarjeta De Crédito;682,51;1700,0;2027-04-24;2026-02-06;Food;14,34;Web;Activo
C001968;Cliente 1968;Mass;Quito;44,0;1315,13;Tarjeta De Crédito;399,79;1800,0;2030-03-01;2025-06-03;Supermarket;68,26;App;Activo
C002185;Cliente 2185;Premium;Quito;47,0;3532,66;Cuenta Corriente;16185,61;0,0;;2025-08-14;No Aplica;0,0;App;Activo
C000133;Cliente 0133;Affluent;Cuenca;49,0;1819,21;Tarjeta De Crédito;1470,61;5200,0;2027-12-09;2026-06-09;Supermarket;75,18;Pos;Activo
C001027;Cliente 1027;Pyme;Ambato;55,0;3014,99;Tarjeta De Crédito;1067,82;3900,0;2026-10-16;2025-10-16;Entertainment;92,19;App;Activo
C000583;Cliente 0583;Affluent;Loja;36,0;1577,87;Cuenta De Ahorros;6080,47;0,0;;2026-08-20;No Aplica;0,0;Atm;Activo
C000600;Cliente 0600;Joven;Guayaquil;28,0;350,0;Tarjeta De Crédito;344,01;700,0;2026-09-24;2025-09-03;Others;30,95;Pos;Activo
C001839;Cliente 1839;Mass;Manta;48,0;1661,06;Tarjeta De Crédito;619,8;1700,0;2029-11-24;2025-04-12;Education;135,16;Pos;Activo
C001861;Cliente 1861;Affluent;Cuenca;41,0;1924,51;Cuenta De Ahorros;2414,96;0,0;;2025-01-17;No Aplica;0,0;Branch;Activo
